圣遗物,效果,获取,条件
锡纸帽,铝矿石x1.12,商人（600黄玉）/赌场-宾果（3线）/赌场-转盘（1%）,获得铝矿石
一杯水,水x1.12；玻璃x1.05,商人（600黄玉）/赌场-宾果（3线）/赌场-转盘（1%）,建造过玻璃吹制厂
作战策略,精通点数x1.18,商人（600黄玉）/赌场-宾果（3线）/赌场-转盘（1%）,解锁精通
100美元钞票,金币x1.1,商人（800黄玉）,解锁村庄
热气球,冶炼速度x1.1,商人（800黄玉）,解锁冶炼
大三叶草,装备几率x1.15,赌场-宾果（3线）,解锁部落
8球,伤害x1.08,赌场-宾果（3线）,无
年轻的猪,怀旧之情+5,赌场-转盘（1%）,解锁传家宝
银色马蹄铁,稀有掉率x1.05,赌场-转盘（1%）,解锁作物经验
青铜工具,铜矿石x1.12；锡矿石x1.12,大型事件代币70,获得锡
矿石帽,铁矿石x1.12；钛矿石x1.12,大型事件（代币100）,获得钛
字典,知识x1.1,大型事件（代币75）,建造过图书馆
专业工具,硬木x1.07；宝石x1.07,大型事件（代币90）,建造过深矿井
血袋,红色油漆x1.15,大型事件（代币115）,获得过红色油漆
晶洞,矿石x1.06,煤渣（代币140）,无
生日蛋糕,宝藏插槽+2,煤渣（代币180）,解锁宝藏
七彩花,鲜花x1.15,开花（代币170）,解锁农场
加热灯泡,灵感的开始+1,开花（代币200）,解锁灵感
垃圾箱,废料x1.08,天气混乱（代币130）,无
手提箱,骨头容量x1.07（v1.4.2之前：装备容量+1）,天气混乱（代币155）,解锁装备
热带帐篷,工人+3,夏日祭典（代币150）,解锁村庄
水果篮,水果x1.15,夏日祭典（代币170）,解锁农场
块状颗粒,作物x1.15,夜间狩猎（代币170）,解锁农场
魔法瓶,树脂容量+1,夜间狩猎（代币175）,解锁树脂
金钱礼物,金币x1.1,降雪（代币155）,解锁村庄
冷冻胡萝卜,蔬菜x1.15,降雪（代币170）,解锁农场
