将军,任务,奖励,解锁条件,
格罗博达尔,挖掘得更深,"火炬
矿山卡片容量+1
村庄卡片容量+1",,采矿：30min内铝25
,,,,村庄：最大建筑200
,,,,采矿：最大居民深度5
,,,,村庄：学校1
,,,,采矿：15min内废料10B
,战斗训练,"紫心勋章
生命值x1.5
腐败的灵魂增益x1.2",,部落：最大区域35
,,,,部落：最大区域1内总普攻伤害5B
,,,,采矿：不制镐到达最大深度40层
,,,,部落：最大区域48
,,,,村庄：解锁层4
,,,,部落：腐化的灵魂10M
,园艺,"腐烂的叶子
作物增益x1.75
作物经验x1.2
过度生长+10%",农场：获得作物经验,农场：土豆等级1
,,,,村庄：建造花园20
,,,,农场：最高作物声望7
,,,,农场：最佳收获700%
,,,,农场：种子箱7级
,漆黑一片,"雪国列车
伤害x2.25",采矿：解锁冶炼厂,采矿：花岗岩硬化6级
,,,,采矿：制镐次数5次内到达最大深度95
,,,,村庄：15min内石头500K
,,,,采矿：煤数量30
,系统大师,"安慰奖
所有资源增益x1.4
精通点数增益x1.4
作物经验x1.4",部落：解锁精通,部落：总精通等级18，最大精通等级2
,,,,农场：最佳收获1500%
,,,,村庄：最大建筑575
,,,,部落：精通等级：一杯牛奶3，腐败的眼睛2，幸运符1
,,,,村庄：贡品最高数量4500
,,,,部落：最大装备数1到达最大区域110
,想一想，玩家，想一想！,"漂亮的灯
灵感的开始+3
解锁创意：更加努力地思考",画廊：解锁拍卖,画廊：最高灵感数量12
,,,,画廊：最大绿色油漆10K
,,,,画廊：最高红鼓数量250
,,,,村庄：建造剧场12
,,,,画廊：一次声望中最高现金100K
