名称,type,price,effect,cap
精华冷凝器,nightHunt,${ 精华: {(8 + 0.25  \cdot  lvl)}^{lvl}  \cdot  200 }$,精华增益*｛${(1.25)}^{lvl}$｝,
幸运符,nightHunt,${ 精华: {(1.5 + 0.02  \cdot  lvl)}^{lvl}  \cdot  1000 }$,仪式成功几率+｛$lvl  \cdot  0.03$｝,
更大的锅,nightHunt,"${ 精华: {(100M)}^{getSequence(1, lvl})  \cdot  10K }$",仪式成分+｛$lvl$｝,5
药水架子,nightHunt,"${ 精华: {(1000  \cdot  Math.pow(10)}^{lvl}, lvl)  \cdot  100K }$",可找到的成分+｛$lvl$｝; 最喜欢的成分大小+｛$lvl$｝,8
仪式粉笔,nightHunt,"${ 精华: {(10M)}^{Math.pow(lvl, 2})  \cdot  50M }$",奖励成分+｛$lvl$｝,3
稳定器,nightHunt,${ 精华: {(1.75 + 0.03  \cdot  lvl)}^{lvl}  \cdot  300M }$,仪式稳定性+｛$lvl  \cdot  0.02$｝,
底座,nightHunt,${ 精华: {(120)}^{lvl}  \cdot  7.5B }$,奖励成分数量+｛$lvl$｝,
神秘者,nightHunt,${ gem_topaz: lvl  \cdot  125 + 100 }$,精华增益*｛${(3)}^{lvl}$｝,
捆绑包,nightHunt,${ gem_topaz: lvl  \cdot  250 + 350 }$,成分尺寸+｛$lvl  \cdot  3$｝; 最喜欢的成分大小+｛$lvl$｝,
一袋糖果,nightHunt,${ gem_topaz: lvl  \cdot  200 + 200 }$,奖励成分数量+｛$lvl$｝,
