名称,found,icon,grow,yield,rareDrop,tier,type,cost,giantGrow,giantMult,baseExp,specialEffect
carrot,true,"<i class=""mdi mdi-carrot""></i>",MINUTES_PER_HOUR,130,老根currency｛5｝,0,蔬菜,,,,,
blueberry,,"<i class=""mdi mdi-fruit-grapes""></i>",[Unsupported Node: BinaryExpression],250,老根currency｛9｝,1,浆果,,,,,
wheat,,"<i class=""mdi mdi-barley""></i>",[Unsupported Node: BinaryExpression],480,老根currency｛16｝,2,粮食,,,,,
tulip,,"<i class=""mdi mdi-flower-tulip""></i>",[Unsupported Node: BinaryExpression],850,老根currency｛28｝,3,花肥,,,,,
potato,,"<i class=""mdi mdi-circle""></i>",[Unsupported Node: BinaryExpression],1600,土豆水consumable｛3｝,4,蔬菜,,,,,
raspberry,,"<i class=""mdi mdi-fruit-grapes""></i>",[Unsupported Node: BinaryExpression],680,种子壳currency｛6｝,5,浆果,,,,,
barley,,"<i class=""mdi mdi-barley""></i>",[Unsupported Node: BinaryExpression],1050,种子壳currency｛10｝,6,粮食,,,,,
dandelion,,"<i class=""mdi mdi-flower""></i>",[Unsupported Node: BinaryExpression],230,花瓣currency｛1｝,7,花肥,,,,,
corn,,"<i class=""mdi mdi-corn""></i>",[Unsupported Node: BinaryExpression],2600,虫子currency｛15｝,8,蔬菜,,,,,
watermelon,,"<i class=""mdi mdi-fruit-watermelon""></i>",[Unsupported Node: BinaryExpression],1250,虫子currency｛6｝; 蝴蝶currency｛2｝,9,浆果,,,,,
rice,,"<i class=""mdi mdi-rice""></i>",[Unsupported Node: BinaryExpression],2200,种子壳currency｛24｝; 瓢虫currency｛12｝,10,粮食,,,,,
rose,,"<i class=""mdi mdi-flower""></i>",[Unsupported Node: BinaryExpression],3500,花瓣currency｛32｝; 瓢虫currency｛24｝; 玫瑰水consumable｛8｝,11,花肥,,,,,
leek,,"<i class=""mdi mdi-leek""></i>",[Unsupported Node: BinaryExpression],490,虫子currency｛2｝; 瓢虫currency｛2｝,12,蔬菜,,,,,
honeymelon,,"<i class=""mdi mdi-fruit-watermelon""></i>",[Unsupported Node: BinaryExpression],3875,蝴蝶currency｛7｝; 蜘蛛currency｛1｝,13,浆果,,,,,
rye,,"<i class=""mdi mdi-barley""></i>",[Unsupported Node: BinaryExpression],1050,种子壳currency｛7｝; 蜘蛛currency｛1｝,14,粮食,,,,,
daisy,,"<i class=""mdi mdi-flower""></i>",[Unsupported Node: BinaryExpression],1700,花瓣currency｛9｝; 蝴蝶currency｛2｝; 蜜蜂currency｛28｝,15,花肥,,,,,
cucumber,,"<i class=""mdi mdi-ruler""></i>",[Unsupported Node: BinaryExpression],560,虫子currency｛1｝,16,蔬菜,,,,,
grapes,,"<i class=""mdi mdi-fruit-grapes""></i>",[Unsupported Node: BinaryExpression],950,瓢虫currency｛3｝; 蜜蜂currency｛10｝,17,浆果,,,,,
hops,,"<i class=""mdi mdi-hops""></i>",[Unsupported Node: BinaryExpression],340,蜘蛛currency｛1｝,18,粮食,,,,,
violet,,"<i class=""mdi mdi-flower""></i>",[Unsupported Node: BinaryExpression],4600,花瓣currency｛24｝; 蜜蜂currency｛72｝,19,花肥,,,,,
sweetPotato,,"<i class=""mdi mdi-circle""></i>",[Unsupported Node: BinaryExpression],2300,虫子currency｛6｝,20,蔬菜,,,,,
strawberry,,"<i class=""mdi mdi-fruit-grapes""></i>",[Unsupported Node: BinaryExpression],4100,瓢虫currency｛14｝; 蜜蜂currency｛54｝,21,浆果,,,,,
sesame,,"<i class=""mdi mdi-grain""></i>",[Unsupported Node: BinaryExpression],1125,小种子currency｛3｝; 蜘蛛currency｛1｝,22,粮食,,,,,
sunflower,,"<i class=""mdi mdi-flower-outline""></i>",[Unsupported Node: BinaryExpression],4650,小种子currency｛15｝; 花瓣currency｛18｝,23,花肥,,,,,
spinach,,"<i class=""mdi mdi-flower-poppy""></i>",[Unsupported Node: BinaryExpression],1650,虫子currency｛3｝,24,蔬菜,,,,,
currant,,"<i class=""mdi mdi-fruit-grapes""></i>",[Unsupported Node: BinaryExpression],4500,蝴蝶currency｛3｝; 小种子currency｛10｝,25,浆果,,,,,
