名称,found,type,price,effect,icon
速生剂,true,all,"{""gem_sapphire"":1}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]"",""过度生长效果"":2.5}",
肥沃土壤,true,all,"{""gem_sapphire"":1}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]"",""过度生长效果"":1.25,""作物收获数量"":1.4}",
光泽肥料,true,all,"{""gem_sapphire"":1}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]"",""过度生长效果"":1.25,""挖到黄金的概率"":1.3,""稀有掉落概率"":1.4}",
多汁肥料,true,all,"{""草"":16}","{""作物收获数量"":1.25,""稀有掉落概率"":1.25}",
作物溶解剂,true,all,"{""草"":22}","{""作物经验值"":1.4,""作物收获数量"":0,""稀有掉落概率"":0,""挖到黄金的概率"":0}","<i class=""mdi mdi-test-tube""></i>"
supplementsS,true,special,"{""草"":25,""黄金"":3}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]""}","<i class=""mdi mdi-gradient-vertical""></i>"
supplementsM,true,special,"{""gem_sapphire"":4}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]""}","<i class=""mdi mdi-gradient-vertical""></i>"
土豆水,,蔬菜,,"{""作物生长时间"":""[Unsupported Node: BinaryExpression]"",""过度生长效果"":1.25,""作物收获数量"":1.3}",
玫瑰水,,花卉肥料,,"{""作物生长时间"":""[Unsupported Node: BinaryExpression]"",""过度生长效果"":1.25,""作物收获数量"":1.2,""挖到黄金的概率"":1.1}",
除草剂,,谷物,"{""gem_sapphire"":1}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]"",""过度生长效果"":1,""作物收获数量"":1.8,""稀有掉落概率"":""[Unsupported Node: BinaryExpression]""}",
极速生长剂,,all,"{""gem_sapphire"":2}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]"",""过度生长效果"":3.75,""作物经验值"":""[Unsupported Node: BinaryExpression]""}",
高级肥料,,all,"{""gem_sapphire"":2}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]"",""过度生长效果"":2.5,""作物收获数量"":1.35,""挖到黄金的概率"":1.2,""稀有掉落概率"":1.2}",
supplementsL,,special,"{""gem_sapphire"":10}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]""}","<i class=""mdi mdi-gradient-vertical""></i>"
分析肥料,,all,"{""gem_sapphire"":5}","{""作物经验值"":1.35}",
超级多汁剂,,浆果,"{""gem_sapphire"":3}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]"",""过度生长效果"":3.75,""作物收获数量"":1.5,""稀有掉落概率"":1.2}",
颗粒肥料,,蔬菜,"{""小种子"":20}","{""挖到黄金的概率"":1.2,""稀有掉落概率"":1.2,""作物经验值"":1.1}","<i class=""mdi mdi-pill""></i>"
supplementsXL,,special,"{""gem_sapphire"":25}","{""作物生长时间"":""[Unsupported Node: BinaryExpression]""}","<i class=""mdi mdi-gradient-vertical""></i>"
supplementsXXL,,special,,"{""作物生长时间"":""[Unsupported Node: BinaryExpression]""}","<i class=""mdi mdi-gradient-vertical""></i>"
