名称,上限,消耗,效果,解锁层数
种子箱,24,"$[{ 仅蔬菜: 70 }, { 仅浆果: 150 }, { 仅粮食: 260 }, { 仅鲜花: 800, 黄金: 1 }, { 仅蔬菜: 4600 }, { 仅浆果: 50K }, { 仅粮食: 335K }, { 仅鲜花: 2M }, { 仅蔬菜: 17.5M }, { 仅浆果: 120M }, { 仅粮食: 900M }, { 仅鲜花: 7.2B }, { 仅蔬菜: 54B }, { 仅浆果: 370B }, { 仅粮食: 2.2T }, { 仅鲜花: 35T }, { 仅蔬菜: 875T }, { 仅浆果: 3.1Qa }, { 仅粮食: 130Qa }, { 仅鲜花: 8.5Qi }, { 仅蔬菜: 500Qi }, { 仅浆果: 35Sx }, { 仅粮食: 3Sp }, { 仅鲜花: 320Sp }][lvl]$",蓝莓farmSeed｛$lvl >= 1$｝; 小麦farmSeed｛$lvl >= 2$｝; 郁金香farmSeed｛$lvl >= 3$｝; 土豆farmSeed｛$lvl >= 4$｝; 覆盆子farmSeed｛$lvl >= 5$｝; 大麦farmSeed｛$lvl >= 6$｝; 蒲公英farmSeed｛$lvl >= 7$｝; 玉米farmSeed｛$lvl >= 8$｝; 西瓜farmSeed｛$lvl >= 9$｝; 大米farmSeed｛$lvl >= 10$｝; 玫瑰farmSeed｛$lvl >= 11$｝; 韭菜farmSeed｛$lvl >= 12$｝; 蜜瓜farmSeed｛$lvl >= 13$｝; 黑麦farmSeed｛$lvl >= 14$｝; 雏菊farmSeed｛$lvl >= 15$｝; 黄瓜farmSeed｛$lvl >= 16$｝; 葡萄farmSeed｛$lvl >= 17$｝; 啤酒花farmSeed｛$lvl >= 18$｝; 紫罗兰farmSeed｛$lvl >= 19$｝; 红薯farmSeed｛$lvl >= 20$｝; 草莓farmSeed｛$lvl >= 21$｝; 芝麻farmSeed｛$lvl >= 22$｝; 向日葵farmSeed｛$lvl >= 23$｝; 菠菜farmSeed｛$lvl >= 24$｝,
繁殖力,,"${ 仅蔬菜: 50  \cdot  {(lvl  \cdot  0.005 + 1.3)}^{lvl}, 仅浆果: 50  \cdot  {(lvl  \cdot  0.005 + 1.3)}^{lvl} }$",作物增益*｛${(1.1)}^{lvl}$｝,1
过度生长,9,"$fallbackArray([{ 仅浆果: 200 }, { 仅粮食: 850, 仅鲜花: 1300 }], { 仅鲜花: 240  \cdot  {(5 + lvl)}^{lvl} }, lvl)$",过度生长+｛$lvl >= 1 ? lvl  \cdot  0.05 + 0.05 : null$｝,1
扩张,45,${ 仅粮食: 300  \cdot  {(lvl  \cdot  0.05 + 2)}^{lvl} }$,农场地块farmTile｛$lvl$｝,2
花园侏儒,5,"${ 仅蔬菜: 500  \cdot  {(96)}^{lvl}, 仅浆果: 500  \cdot  {(96)}^{lvl}, 仅鲜花: 1000  \cdot  {(128)}^{lvl} }$",花园侏儒farmBuilding｛$lvl$｝; 禁用“第一作物”解锁｛$lvl >= 1$｝,3
学习,1,${ 黄金: 1 }$,作物经验解锁｛$lvl >= 1$｝,4
肥料,1,${ 黄金: 5 }$,肥料解锁｛$lvl >= 1$｝,
磨碎种子,,"${ 仅鲜花: 6000  \cdot  {(1.75)}^{lvl}, 种子壳: \text{四舍五入}(4  \cdot  lvl  \cdot  {(1.1)}^{Math.max(0, lvl - 10}) + 10) }$",仅粮食增益*｛$lvl  \cdot  0.15 + 1$｝; 过度生长+｛$lvl  \cdot  0.01$｝,5
烤种子,5,${ 种子壳: \text{四舍五入}({(1.8)}^{lvl}  \cdot  4) }$,作物经验+｛$lvl  \cdot  0.1$｝,5
干草捆,,${ 草: lvl  \cdot  125 + 75 }$,草容量+｛$lvl  \cdot  100$｝,5
小箱子,7,${ 仅浆果: 24.5K  \cdot  {(1.9)}^{lvl} }$,种子壳容量+｛$lvl  \cdot  10$｝,6
洒水装置,2,"${ 仅蔬菜: 120K  \cdot  {(4M)}^{lvl}, 种子壳: 50  \cdot  {(10)}^{lvl} }$",洒水装置farmBuilding｛$lvl$｝,6
放大镜,20,"${ 仅粮食: 54K  \cdot  {(lvl  \cdot  0.1 + 2)}^{lvl}, 仅鲜花: 33K  \cdot  {(lvl  \cdot  0.1 + 2)}^{lvl} }$",作物经验*｛$lvl  \cdot  0.1 + 1$｝,7
稻草人,10,"${ 仅粮食: 110K  \cdot  {(1.8)}^{lvl}, 花瓣: \text{四舍五入}({(1.4)}^{lvl}  \cdot  3), 黄金: 6 + lvl }$",作物增益*｛$lvl  \cdot  0.1 + 1$｝; 花瓣容量+｛$lvl  \cdot  3$｝,7
蚁丘,,"${ 草: getSequence(3, lvl)  \cdot  50 + 200 }$",稀有掉率+｛$lvl  \cdot  0.015$｝,7
虫粉,,"${ 仅粮食: 675K  \cdot  {(1.75)}^{lvl}, 虫子: \text{四舍五入}(5  \cdot  lvl  \cdot  {(1.1)}^{Math.max(0, lvl - 10}) + 10) }$",仅蔬菜增益*｛$lvl  \cdot  0.15 + 1$｝,8
棚子,10,"${ 种子壳: 5  \cdot  getSequence(3, lvl) + 35, 虫子: 5  \cdot  getSequence(3, lvl) + 35, 花瓣: 4  \cdot  getSequence(1, lvl) + 10 }$",种子壳容量+｛$lvl  \cdot  20$｝; 虫子容量+｛$lvl  \cdot  20$｝; 花瓣容量+｛$lvl  \cdot  10$｝,8
讲台,2,"${ 仅鲜花: 3.5M  \cdot  {(3M)}^{lvl}, 花瓣: 75  \cdot  {(5)}^{lvl} }$",讲台farmBuilding｛$lvl$｝,9
香水,25,"${ 虫子: \text{四舍五入}(5  \cdot  lvl  \cdot  {(1.1)}^{Math.max(0, lvl - 10}) + 10), 蝴蝶: \text{四舍五入}(lvl  \cdot  {(1.1)}^{Math.max(0, lvl - 10}) + 2) }$",仅浆果增益*｛$lvl  \cdot  0.15 + 1$｝; 稀有掉率+｛$lvl  \cdot  0.01$｝,9
中箱子,8,"${ 仅蔬菜: 90M  \cdot  {(1.75)}^{lvl}, 仅粮食: 54M  \cdot  {(2.1)}^{lvl} }$",种子壳容量+｛$lvl  \cdot  25$｝; 草容量+｛$lvl  \cdot  40$｝,10
踩碎种子,,${ 种子壳: \text{四舍五入}({(1.15)}^{lvl}  \cdot  150) }$,作物增益*｛${(1.12)}^{lvl}$｝,10
