名称,tier,拥有最多,icon,effect
makeItPretty,1,true,"<i class=""mdi mdi-image""></i>","美丽增益*｛$lvl  \cdot  0.4 + getSequence(1, lvl)  \cdot  0.1 + 1$｝"
stompBerries,1,true,"<i class=""mdi mdi-fruit-grapes""></i>",红色油漆增益*｛${(2)}^{lvl}$｝; 红色转换*｛${(2)}^{lvl}$｝; 美丽增益*｛${(0.5)}^{lvl / 2}$｝
carvePumpkins,1,,"<i class=""mdi mdi-halloween""></i>",橙色油漆增益*｛${(2)}^{lvl}$｝; 橙色转换*｛${(2)}^{lvl}$｝; 红色油漆增益*｛${(0.5)}^{lvl / 2}$｝
sortWaste,1,,"<i class=""mdi mdi-delete-variant""></i>","转换器增益*｛$getSequence(2, lvl)  \cdot  0.25 + 1$｝"
advertise,1,,"<i class=""mdi mdi-cash""></i>",现金增益*｛$lvl  \cdot  0.1 + 1$｝
beImpatient,1,,"<i class=""mdi mdi-run-fast""></i>",包裹增益*｛$lvl  \cdot  0.1 + 1$｝; 包裹容量*｛$lvl + 1$｝
beExcited,1,,"<i class=""mdi mdi-emoticon-excited""></i>",动机增益+｛$lvl  \cdot  0.001$｝; 动机容量+｛$lvl  \cdot  70$｝
makeLemonade,2,,"<i class=""mdi mdi-fruit-citrus""></i>",黄色油漆增益*｛${(2)}^{lvl}$｝; 黄色转换*｛${(2)}^{lvl}$｝; 橙色油漆增益*｛${(0.5)}^{lvl / 2}$｝
growATree,2,,"<i class=""mdi mdi-tree""></i>",绿色油漆增益*｛${(2)}^{lvl}$｝; 绿色转换*｛${(2)}^{lvl}$｝; 黄色油漆增益*｛${(0.5)}^{lvl / 2}$｝
buildComposter,2,,"<i class=""mdi mdi-archive-sync""></i>",转换器容量*｛$lvl  \cdot  0.5 + 1$｝
observeRainbow,2,,"<i class=""mdi mdi-looks""></i>",所有颜色增益*｛$lvl  \cdot  0.12 + 1$｝
buildRedReservoir,2,,"<i class=""mdi mdi-hoop-house""></i>",红色鼓容量*｛$lvl  \cdot  0.4 + 1$｝
orderMassiveSafe,2,,"<i class=""mdi mdi-safe-square""></i>",所有鼓上限+｛$lvl  \cdot  3$｝; 画布速度*｛$1 - lvl / (lvl + 10)$｝
buyPen,2,,"<i class=""mdi mdi-pen""></i>",形状增益*｛$lvl  \cdot  0.12 + 1$｝
drawOcean,3,,"<i class=""mdi mdi-waves""></i>",蓝色油漆增益*｛${(2)}^{lvl}$｝; 蓝色转换*｛${(2)}^{lvl}$｝; 绿色油漆增益*｛${(0.5)}^{lvl / 2}$｝
makeWine,3,,"<i class=""mdi mdi-bottle-wine""></i>",紫色油漆增益*｛${(2)}^{lvl}$｝; 紫色转换*｛${(2)}^{lvl}$｝; 蓝色油漆增益*｛${(0.5)}^{lvl / 2}$｝
calculateOdds,3,,"<i class=""mdi mdi-strategy""></i>",所有鼓几率*｛$lvl  \cdot  0.1 + 1$｝
buildOrangeReservoir,3,,"<i class=""mdi mdi-hoop-house""></i>",橙色鼓容量*｛$lvl  \cdot  0.4 + 1$｝
thinkHarder,3,,"<i class=""mdi mdi-head-lightbulb""></i>",+{0} 等级对于所有层级 1 想法tag｛$[lvl]$｝
paintFaster,3,,"<i class=""mdi mdi-brush""></i>",画布速度*｛$lvl  \cdot  0.25 + 1$｝
buyBrush,3,,"<i class=""mdi mdi-brush-variant""></i>",特殊形状几率+｛$lvl  \cdot  0.002$｝; 特殊形状乘数+｛$lvl  \cdot  1.5$｝
harvestOranges,4,,"<i class=""mdi mdi-fruit-citrus""></i>",currencyGalleryDeep-orangeGain*｛${(2)}^{lvl}$｝; 橙红转换*｛${(2)}^{lvl}$｝; 紫色油漆增益*｛${(0.5)}^{lvl / 2}$｝
pulverizeGold,4,,"<i class=""mdi mdi-shimmer""></i>",金色油漆增益*｛${(2)}^{lvl}$｝; 金色转换*｛${(2)}^{lvl}$｝; currencyGalleryDeep-orangeGain*｛${(0.5)}^{lvl / 2}$｝
buildYellowReservoir,4,,"<i class=""mdi mdi-hoop-house""></i>",黄色鼓容量*｛$lvl  \cdot  0.4 + 1$｝
paintForFun,4,,"<i class=""mdi mdi-emoticon-happy""></i>",美丽增益*｛${(4)}^{lvl}$｝; 现金增益*｛${(0.5)}^{lvl}$｝
printNewspaper,4,,"<i class=""mdi mdi-newspaper""></i>","现金增益*｛$getSequence(2, lvl)  \cdot  0.25 + 1$｝"
expandCanvas,4,,"<i class=""mdi mdi-artboard""></i>",画布大小+｛$lvl  \cdot  3$｝
hyperfocus,4,,"<i class=""mdi mdi-image-filter-center-focus-strong-outline""></i>",动机增益+｛$lvl  \cdot  0.008$｝; 圆形增益*｛$lvl  \cdot  0.24 + 1$｝
cutGrass,5,,"<i class=""mdi mdi-grass""></i>",currencyGalleryLight-greenGain*｛${(2)}^{lvl}$｝; 浅绿色转换*｛${(2)}^{lvl}$｝; 金色油漆增益*｛${(0.5)}^{lvl / 2}$｝
shapeClay,5,,"<i class=""mdi mdi-pot""></i>",青色油漆增益*｛${(2)}^{lvl}$｝; 青色转换*｛${(2)}^{lvl}$｝; currencyGalleryLight-greenGain*｛${(0.5)}^{lvl / 2}$｝
buildGreenReservoir,5,,"<i class=""mdi mdi-hoop-house""></i>",绿色鼓容量*｛$lvl  \cdot  0.4 + 1$｝
beMysterious,5,,"<i class=""mdi mdi-wizard-hat""></i>",神秘形状增益+｛$lvl$｝
lookAtTheSky,6,,"<i class=""mdi mdi-clouds""></i>",currencyGalleryLight-blueGain*｛${(2)}^{lvl}$｝; 浅蓝色转换*｛${(2)}^{lvl}$｝; 青色油漆增益*｛${(0.5)}^{lvl / 2}$｝
chewBubblegum,6,,"<i class=""mdi mdi-dots-circle""></i>",粉红色油漆增益*｛${(2)}^{lvl}$｝; 粉色转换*｛${(2)}^{lvl}$｝; currencyGalleryLight-blueGain*｛${(0.5)}^{lvl / 2}$｝
buildBlueReservoir,6,,"<i class=""mdi mdi-hoop-house""></i>",蓝色鼓容量*｛$lvl  \cdot  0.4 + 1$｝
