名称,minZone,icon,激活的卡片
pistol_gun,Infinity,"<i class=""mdi mdi-pistol""></i>","{""effect"":""$[{ type: 'damagePhysic', value: 3.35 }]$"",""cooldown"":""$4$"",""startCooldown"":""$4$"",""uses"":""$lvl  \\cdot  4$""}"
rifle_gun,Infinity,"<i class=""mdi mdi-pistol""></i>","{""effect"":""$[{ type: 'damagePhysic', value: 2 }, { type: 'damageMagic', value: 0.75 }]$"",""cooldown"":""$2$"",""startCooldown"":""$2$"",""uses"":""$lvl  \\cdot  6$""}"
shotgun_gun,Infinity,"<i class=""mdi mdi-pistol""></i>","{""effect"":""$[{ type: 'damagePhysic', value: 2.6 }, { type: 'damageMagic', value: 2.6 }, { type: 'damageBio', value: 2.6 }]$"",""cooldown"":""$13$"",""startCooldown"":""$13$"",""uses"":""$lvl  \\cdot  2$""}"
sniper_gun,Infinity,"<i class=""mdi mdi-target""></i>","{""effect"":""$[{ type: 'damagePhysic', value: 11.5, canCrit: 8 }]$"",""cooldown"":""$25$"",""startCooldown"":""$25$"",""uses"":""$lvl  \\cdot  1$""}"
war_grenade,Infinity,"<i class=""mdi mdi-bomb""></i>","{""effect"":""$[{ type: 'damageMagic', value: 2.75 }, { type: 'stun', value: 2 }, { type: 'silence', value: 8 }]$"",""cooldown"":""$12$"",""startCooldown"":""$6$"",""uses"":""$lvl$""}"
war_bandage,Infinity,"<i class=""mdi mdi-bandage""></i>","{""effect"":""$[{ type: 'heal', value: 0.4 }]$"",""cooldown"":""$8$"",""startCooldown"":""$4$"",""uses"":""$lvl$""}"
monkey_dart,Infinity,"<i class=""mdi mdi-arrow-projectile""></i>","{""effect"":""$[{ type: 'damagePhysic', value: lvl  \\cdot  0.5 + 2.25 }]$"",""cooldown"":""$5$"",""startCooldown"":""$3$"",""uses"":""$null$""}"
monkey_fire,Infinity,"<i class=""mdi mdi-fire""></i>","{""effect"":""$[{ type: 'damageMagic', value: 4.5 }]$"",""cooldown"":""$8$"",""startCooldown"":""$4$"",""uses"":""$lvl  \\cdot  4$""}"
monkey_ice,Infinity,"<i class=""mdi mdi-snowflake""></i>","{""effect"":""$[{ type: 'damageMagic', value: 6.75 }, { type: 'stun', value: 3 }]$"",""cooldown"":""$14$"",""startCooldown"":""$7$"",""uses"":""$lvl  \\cdot  2$""}"
monkey_lightning,Infinity,"<i class=""mdi mdi-flash""></i>","{""effect"":""$[{ type: 'damageMagic', value: 5.1 }, { type: 'silence', value: 3 }]$"",""cooldown"":""$10$"",""startCooldown"":""$5$"",""uses"":""$lvl  \\cdot  3$""}"
