名称,消耗,效果,上限
更多力量,${ 红宝石:   \cdot  {(2)}^{\text{向下取整}(lvl / 2})  \cdot  100 }$,"攻击*｛$getSequence(2, lvl)  \cdot  0.3 + 1$｝; 生命值*｛$getSequence(2, lvl)  \cdot  0.3 + 1$｝",
更多骨头,${ 红宝石:   \cdot  {(2)}^{\text{向下取整}(lvl / 2})  \cdot  75 }$,"骨头增益*｛$getSequence(1, lvl) + 1$｝; 骨头容量*｛$getSequence(1, lvl) + 1$｝",
更多怪物零件,${ 红宝石:   \cdot  {(2)}^{\text{向下取整}(lvl / 2})  \cdot  90 }$,怪物零件增益*｛$lvl  \cdot  0.5 + 1$｝,
更多灵魂,${ 红宝石:   \cdot  {(2)}^{\text{向下取整}(lvl / 2})  \cdot  110 }$,腐败的灵魂增益*｛$lvl  \cdot  0.25 + 1$｝; 腐败的灵魂容量*｛$lvl  \cdot  0.25 + 1$｝,
更多精通,${ 红宝石:   \cdot  {(2)}^{\text{向下取整}(lvl / 2})  \cdot  125 }$,"精通点数增益*｛$getSequence(2, lvl)  \cdot  0.25 + 1$｝",
古老的力量,${ 红宝石: {(2)}^{lvl}  \cdot  300 }$,"力量效果*｛$getSequence(1, lvl + 1)$｝",1
古老的坚韧,${ 红宝石: {(2)}^{lvl}  \cdot  300 }$,"韧效果*｛$getSequence(1, lvl + 1)$｝",1
古老的财富,${ 红宝石: {(2)}^{lvl}  \cdot  300 }$,"财富效果*｛$getSequence(1, lvl + 1)$｝",1
古老的精神,${ 红宝石: {(2)}^{lvl}  \cdot  450 }$,"精神效果*｛$getSequence(1, lvl + 1)$｝",1
古老的锐视,${ 红宝石: {(2)}^{lvl}  \cdot  600 }$,"锐视效果*｛$getSequence(1, lvl + 1)$｝",1
古老的收割,${ 红宝石: {(2)}^{lvl}  \cdot  750 }$,"收割效果*｛$getSequence(1, lvl + 1)$｝",1
古老的回忆,${ 红宝石: {(2)}^{lvl}  \cdot  750 }$,"纪念效果*｛$getSequence(1, lvl + 1)$｝",1
古老的保持,${ 红宝石: {(2)}^{lvl}  \cdot  975 }$,"保持效果*｛$getSequence(1, lvl + 1)$｝",1
古老的经验,${ 红宝石: {(2)}^{lvl}  \cdot  1300 }$,"专长效果*｛$getSequence(1, lvl + 1)$｝",1
古老的精通,${ 红宝石: {(2)}^{lvl}  \cdot  1800 }$,"神秘效果*｛$getSequence(1, lvl + 1)$｝",1
