名称,子功能,消耗,效果,requirementBase,requirementStat,requirementValue,上限,保留,requirement
烟雾,1,${ 废料: \text{向上取整}({(lvl  \cdot  0.012 + 1.24)}^{lvl}  \cdot  750K) }$,伤害*｛${(1.12)}^{lvl}  \cdot  {(lvl  \cdot  0.2 + 1)}^{2}$｝,,,,,,
巨型陨石坑,1,${ 废料: \text{向上取整}({(lvl  \cdot  2 + 8)}^{lvl}  \cdot  2.5M) }$,废料容量*｛${(7)}^{lvl}$｝,requirementBase,requirementStat,5,,,
更大的压力,1,${ 废料: \text{向上取整}({(lvl  \cdot  0.025 + 1.75)}^{lvl}  \cdot  400M) }$,伤害*｛${(1.2)}^{lvl}$｝; 废料增益*｛${(1.25)}^{lvl}$｝,requirementBase,requirementStat,10,,,
燃气居民,1,${ 氦: 250 }$,深度居民解锁｛$lvl >= 1$｝; 深度居民速度*｛${(3)}^{lvl}$｝,requirementBase,requirementStat,15,1,true,
活塞,1,${ 氦: \text{四舍五入}({(1.35)}^{lvl}  \cdot  50) }$,伤害*｛${(1.05)}^{lvl}  \cdot  (lvl  \cdot  0.2 + 1)$｝,requirementBase,requirementStat,20,,,
污染,1,${ 氦: 1000 }$,烟雾解锁｛$lvl >= 1$｝,requirementBase,requirementStat,25,1,true,
颗粒过滤器,1,${ 废料: \text{向上取整}({(1.4)}^{lvl}  \cdot  1T) }$,制作力量*｛${(1.15)}^{lvl}$｝,,,,,,$store.state.解锁.烟雾.use$
热气球,1,${ 废料: \text{向上取整}({(3.75)}^{lvl}  \cdot  2.2T) }$,废料容量*｛${(1.5)}^{lvl}$｝; 烟雾容量*｛$lvl  \cdot  0.5 + 1$｝,requirementBase,requirementStat,30,8,,
通风口,1,${ 废料: \text{向上取整}({(1.65)}^{lvl}  \cdot  40T) }$,伤害*｛${(1.05)}^{lvl}$｝; 废料增益*｛${(1.3)}^{lvl}$｝,requirementBase,requirementStat,40,20,,
收割机,1,${ 氖: \text{四舍五入}({(1.35)}^{lvl}  \cdot  50) }$,废料增益*｛${(1.05)}^{lvl}  \cdot  (lvl  \cdot  0.3 + 1)$｝,requirementBase,requirementStat,50,,,
石墨棒,1,${ 废料: \text{向上取整}({(1.85)}^{lvl}  \cdot  1Qi) }$,制作力量*｛${(1.12)}^{lvl}$｝; 烟雾容量*｛${(1.1)}^{lvl}$｝,requirementBase,requirementStat,75,40,,
浓缩水晶,1,${ 氩: \text{四舍五入}({(1.35)}^{lvl}  \cdot  50) }$,黄水晶增益*｛$lvl  \cdot  0.05 + 1$｝,requirementBase,requirementStat,100,,,
吸烟者,1,${ 氪: \text{四舍五入}({(1.35)}^{lvl}  \cdot  50) }$,烟雾增益*｛${(1.05)}^{lvl}  \cdot  (lvl  \cdot  0.2 + 1)$｝,requirementBase,requirementStat,160,,,
