名称,max,needed,rewards
收集器,,1,"[{""type"":""+"",""name"":""植物纤维增益"",""amount"":0.3},{""type"":""+"",""name"":""木头增益"",""amount"":0.3},{""type"":""+"",""name"":""石头增益"",""amount"":0.3}]"
farmer,0,2,"[{""type"":""+"",""name"":""植物纤维增益"",""amount"":2},{""type"":""+"",""name"":""粮食增益"",""amount"":0.5}]"
收割机,0,2,"[{""type"":""+"",""name"":""木头增益"",""amount"":2},{""type"":""+"",""name"":""水果增益"",""amount"":0.5}]"
miner,0,2,"[{""type"":""+"",""name"":""石头增益"",""amount"":2},{""type"":""+"",""name"":""金属增益"",""amount"":0.5}]"
wellWorker,0,3,"[{""type"":""+"",""name"":""水增益"",""amount"":3}]"
librarian,0,4,"[{""type"":""+"",""name"":""知识增益"",""amount"":0.02}]"
glassblower,0,4,"[{""type"":""+"",""name"":""玻璃增益"",""amount"":0.25}]"
entertainer,0,5,"[{""type"":""+"",""name"":""幸福"",""amount"":0.03}]"
lumberjack,0,6,"[{""type"":""+"",""name"":""木头增益"",""amount"":12},{""type"":""+"",""name"":""硬木增益"",""amount"":0.25}]"
blastMiner,0,6,"[{""type"":""+"",""name"":""石头增益"",""amount"":12},{""type"":""+"",""name"":""宝石增益"",""amount"":0.25}]"
fisherman,0,7,"[{""type"":""+"",""name"":""鱼增益"",""amount"":30}]"
scientist,0,8,"[{""type"":""+"",""name"":""科学增益"",""amount"":0.008}]"
gardener,0,8,"[{""type"":""+"",""name"":""植物纤维增益"",""amount"":20},{""type"":""+"",""name"":""蔬菜增益"",""amount"":40}]"
oilWorker,0,11,"[{""type"":""+"",""name"":""油增益"",""amount"":0.35}]"
sculptor,0,14,"[{""type"":""+"",""name"":""大理石增益"",""amount"":0.001}]"
explorer,0,600,"[{""type"":""+"",""name"":""战利品增益"",""amount"":0.5}]"
