名称,type,price,effect,cap
加时赛,优质肥料,"${ gem_ruby: fallbackArray([70],   \cdot  {(2)}^{\text{向下取整}((lvl - 1} / 2))  \cdot  100, lvl) }$","材料增益*｛$fallbackArray([1, 1.1], {(1.25)}^{lvl - 1}, lvl)$｝",
黄金王座,优质肥料,"${ gem_ruby: fallbackArray([30],   \cdot  {(2)}^{\text{向下取整}((lvl - 1} / 2))  \cdot  60, lvl) }$","金币增益*｛$fallbackArray([1, 1.5], getSequence(2, lvl - 1)  \cdot  0.5 + 1, lvl)$｝",
更快的建造,优质肥料,${ gem_ruby:   \cdot  {(2)}^{\text{向下取整}(lvl / 2})  \cdot  75 }$,建造速度*｛$lvl + 1$｝,
更多信仰,优质肥料,${ gem_ruby:   \cdot  {(2)}^{\text{向下取整}(lvl / 2})  \cdot  80 }$,信仰增益*｛$lvl  \cdot  0.25 + 1$｝; 信仰容量*｛$lvl  \cdot  0.25 + 1$｝,
更多植物纤维,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  275 }$,植物纤维增益*｛${(1.75)}^{lvl}$｝; 植物纤维容量*｛$lvl  \cdot  0.1 + 1$｝,1
更多木头,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  275 }$,木头增益*｛${(1.75)}^{lvl}$｝; 木头容量*｛$lvl  \cdot  0.1 + 1$｝,1
更多石头,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  275 }$,石头增益*｛${(1.75)}^{lvl}$｝; 石头容量*｛$lvl  \cdot  0.1 + 1$｝,1
更多金属,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  375 }$,金属增益*｛${(1.75)}^{lvl}$｝; 金属容量*｛$lvl  \cdot  0.1 + 1$｝,1
更多水,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  450 }$,水增益*｛${(1.75)}^{lvl}$｝; 水容量*｛$lvl  \cdot  0.1 + 1$｝,1
更多玻璃,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  600 }$,玻璃增益*｛${(1.75)}^{lvl}$｝; 玻璃容量*｛$lvl  \cdot  0.1 + 1$｝,1
更多硬木,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  900 }$,硬木增益*｛${(1.75)}^{lvl}$｝; 硬木容量*｛$lvl  \cdot  0.1 + 1$｝,1
更多宝石,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  900 }$,宝石增益*｛${(1.75)}^{lvl}$｝; 宝石容量*｛$lvl  \cdot  0.1 + 1$｝,1
更多知识,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  675 }$,知识增益*｛${(1.75)}^{lvl}$｝,1
更多科学,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  1300 }$,科学增益*｛${(1.75)}^{lvl}$｝,1
更多油,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  1800 }$,油增益*｛${(1.75)}^{lvl}$｝; 油容量*｛$lvl  \cdot  0.1 + 1$｝,1
更多大理石,优质肥料,${ gem_ruby: {(10)}^{lvl}  \cdot  2250 }$,大理石增益*｛${(1.75)}^{lvl}$｝; 大理石容量*｛$lvl  \cdot  0.1 + 1$｝,1
