名称,消耗,效果,上限
方舟,${ 祝福: {(1.35)}^{lvl}  \cdot  50 }$,工人+｛$lvl  \cdot  2$｝,
圣草,${ 祝福: {(1.65)}^{lvl}  \cdot  50 }$,植物纤维增益*｛$lvl  \cdot  0.2 + 1$｝; 植物纤维容量*｛${(1.25)}^{lvl}$｝,
圣树,${ 祝福: {(1.65)}^{lvl}  \cdot  50 }$,木头增益*｛$lvl  \cdot  0.2 + 1$｝; 木头容量*｛${(1.25)}^{lvl}$｝,
圣石,${ 祝福: {(1.65)}^{lvl}  \cdot  50 }$,石头增益*｛$lvl  \cdot  0.2 + 1$｝; 石头容量*｛${(1.25)}^{lvl}$｝,
神圣金属,${ 祝福: {(1.65)}^{lvl}  \cdot  70 }$,金属增益*｛$lvl  \cdot  0.2 + 1$｝; 金属容量*｛${(1.25)}^{lvl}$｝,
教会税,${ 祝福: {(1.85)}^{lvl}  \cdot  80 }$,税率*｛${(1.1)}^{lvl}$｝,
圣水,${ 祝福: {(1.65)}^{lvl}  \cdot  90 }$,水增益*｛$lvl  \cdot  0.2 + 1$｝; 水容量*｛${(1.25)}^{lvl}$｝,
神圣玻璃,${ 祝福: {(1.65)}^{lvl}  \cdot  100 }$,玻璃增益*｛$lvl  \cdot  0.2 + 1$｝; 玻璃容量*｛${(1.25)}^{lvl}$｝,
圣鹤,${ 祝福: {(2.15)}^{lvl}  \cdot  125 }$,建造速度+｛$lvl$｝; 建造速度*｛${(1.25)}^{lvl}$｝,
僧侣,${ 祝福: {(1.85)}^{lvl}  \cdot  150 }$,知识增益*｛$lvl  \cdot  0.2 + 1$｝; 知识容量+｛$lvl  \cdot  10$｝,
神圣的存钱罐,${ 祝福: {(2.3)}^{lvl}  \cdot  200 }$,金币容量*｛${(1.25)}^{lvl}$｝,
深深的崇拜,${ 祝福: {(2.75)}^{lvl}  \cdot  250 }$,信仰容量*｛${(1.5)}^{lvl}$｝,
城市规划,${ 祝福: {(3.2)}^{lvl}  \cdot  1750 }$,住房最高等级+｛$lvl  \cdot  5$｝,5
经理人,${ 祝福: {(3.2)}^{lvl}  \cdot  2100 }$,工作站最高等级+｛$lvl  \cdot  2$｝,5
仓库,${ 祝福: {(3.3)}^{lvl}  \cdot  1300 }$,存储保留｛$lvl >= 1$｝; 锻造保留｛$lvl >= 2$｝; 保险箱保留｛$lvl >= 3$｝; 水族馆保留｛$lvl >= 4$｝; 知识塔保留｛$lvl >= 5$｝; 大存储空间保留｛$lvl >= 6$｝,6
砂岩,${ 祝福: {(2.25)}^{lvl}  \cdot  1500 }$,upgradeVillageObeliskCap+｛$lvl$｝,10
